Entidad federativa,Población de 18 años y más que tuvo contacto con algún servidor público1,,
,,Usuarios  que experimentaron algún acto de corrupción en al menos uno de los trámites que realizaron,
,,Absolutos,"Tasa por cada 
100 000 habitantes4 "
entidad,Población de 18 años y más,contacto_tot,contacto
Estados Unidos Mexicanos,35668461,5220175,14635.2684
Aguascalientes,469365,68320,14555.83608
Baja California,1399711,192555,13756.76836
Baja California Sur,163073,19413,11904.48449
Campeche,268049,34065,12708.49733
Coahuila de Zaragoza,1245829,140425,11271.61111
Colima,255963,27251,10646.46062
Chiapas,554186,89688,16183.73615
Chihuahua,1416490,221446,15633.43193
Ciudad de México,4525860,909361,20092.55699
Durango,529391,84753,16009.52793
Guanajuato,1229444,110258,8968.118922
Guerrero,579529,82921,14308.3435
Hidalgo,328339,42995,13094.69786
Jalisco,2596117,361396,13920.63609
Estado de México,6965268,1107514,15900.52242
Michoacán de Ocampo,646030,95914,14846.67895
Morelos,579706,99877,17228.90569
Nayarit,229620,25354,11041.7211
Nuevo León,2339959,320344,13690.1544
Oaxaca,375906,42073,11192.42577
Puebla,1094119,104787,9577.294609
Querétaro,561217,66389,11829.4706
Quintana Roo,584727,103017,17617.96531
San Luis Potosí,673563,112679,16728.79894
Sinaloa,790801,110419,13962.93126
Sonora,1081088,163869,15157.78549
Tabasco,234768,34478,14685.98787
Tamaulipas,1380436,156341,11325.47978
Tlaxcala,389407,48939,12567.57069
Veracruz de Ignacio de la Llave,1323209,140156,10592.12868
Yucatán,643041,79378,12344.15846
Zacatecas,214250,23800,11108.51809
